month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,14904.85469700383,2748.527177292183,10.041608470376211,5.999707141248029,120.14462716828115,Rain,Neutral
February,14947.219975339087,2743.0470209617756,9.907699136868064,5.973958076448829,119.41676942046855,Snow,Happy
March,14987.37598380931,2748.7932493816056,10.064958398920622,6.054171351472903,119.13424780751068,Snow,Neutral
April,15187.878630938978,2744.471317270885,9.800612474667867,5.985678901148391,120.26435487502815,Clear,Happy
May,15032.113662195954,2748.0017549443055,10.040577403955444,6.050716071834508,118.74244146396909,Clear,Happy
June,14794.502549837738,2757.7139707927677,9.966571627260084,5.967524339360223,118.83866481223922,Snow,Tired
July,15139.709255079008,2732.3757607223474,9.874309255079007,5.952076749435666,118.60225733634311,Fog,Stressed
August,15085.080546075085,2736.91643003413,9.908295790671216,6.051990898748578,119.8320819112628,Snow,Happy
September,15008.53520478601,2752.0483916244825,10.035497008743672,6.041026231017027,118.69880349746893,Rain,Stressed
October,14731.940723981901,2752.2956289592757,10.042065610859728,5.955135746606335,119.39162895927602,Snow,Neutral
November,15111.590930232558,2764.602711627907,10.161953488372093,6.070651162790697,120.20581395348837,Clear,Stressed
December,15079.256138022562,2746.46599646096,9.960117230701172,5.932736120327362,119.38464941384649,Fog,Happy
