month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,15156.281655480985,2751.37689261745,9.940953020134227,5.981118568232662,118.69328859060403,Clear,Tired
February,15217.76947419669,2768.202005842259,9.981674780915288,5.964216163583252,120.15895813047712,Clear,Neutral
March,15175.809600367478,2741.604586587046,9.953431327514929,6.037827285254938,118.83807992650436,Clear,Tired
April,15055.981208372978,2756.976960038059,9.992923406279733,5.971907706945767,119.40390104662227,Clear,Stressed
May,14998.947673072471,2714.549131743459,10.014503357258624,5.97091919425793,119.23385042833989,Snow,Tired
June,14755.13817166783,2749.5996859734823,10.089862758781111,6.076855082577344,119.52965806001396,Fog,Neutral
July,14890.791405550583,2762.146416741271,9.8283527305282,5.947135183527305,119.21083258728737,Snow,Stressed
August,14994.801980198019,2760.6427392739274,9.875188118811883,6.0199559955995605,120.20528052805281,Snow,Happy
September,15070.531742354031,2749.159047729379,9.92413577386469,5.996130676552363,119.55329008341056,Snow,Stressed
October,15035.060997328585,2762.483659839715,10.02201914514693,6.015471950133571,118.42097061442564,Rain,Happy
November,14928.221621621622,2734.9696568742656,9.97758401880141,5.998401880141011,118.96051703877791,Fog,Neutral
December,15100.06209223847,2750.267696287964,10.043169853768278,6.072913385826771,119.34983127109112,Fog,Neutral
