month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,15224.894736842105,2765.1076691729327,9.913116883116883,5.964593301435406,119.40624287992709,Snow,Neutral
February,15139.73672172808,2758.4318932655656,9.965273189326556,6.029733163913596,119.09199491740787,Fog,Happy
March,15048.04758698092,2743.720931537598,10.116969696969697,6.060044893378227,119.58877665544333,Fog,Stressed
April,15006.524681344148,2757.872375434531,9.825434530706836,5.9923986095017385,119.84426419466976,Snow,Tired
May,14926.404274465693,2758.6531136107988,9.970591676040495,5.993813273340832,119.45286839145106,Rain,Stressed
June,14993.153899560288,2742.0870423513074,9.853059476972923,5.986993751446424,118.71117796806296,Rain,Happy
July,14892.485520361992,2760.431850678733,9.986608597285068,5.988733031674208,119.44660633484163,Fog,Happy
August,15173.30403425738,2736.403288257832,9.825203966644128,5.974104124408384,119.59860265945458,Clear,Happy
September,15163.507887189293,2768.037832217973,10.056168738049713,6.047538240917782,119.86854684512429,Clear,Happy
October,14957.225374855825,2760.6302537485585,10.054682814302192,5.980507497116494,118.8562860438293,Rain,Happy
November,15179.230841782599,2771.433159632162,10.070224003772696,6.006649375147371,118.16128271634048,Rain,Stressed
December,14835.257962502823,2736.231987802123,10.042290490173933,6.0016037948949625,119.46035690083578,Clear,Tired
