month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,14975.587760591796,2753.228984532616,10.050717327953373,6.007576776507509,120.01031158932975,Snow,Happy
February,15029.160177427304,2761.226446525382,10.111510596352884,6.020650566781666,119.0724494825037,Fog,Neutral
March,14962.929070029273,2762.399259175861,10.066133753659084,5.977527583877505,119.56563836973655,Rain,Happy
April,14820.31550068587,2739.4791563786007,10.064064929126658,5.902834933699131,119.01760402377687,Clear,Tired
May,14968.14864567276,2736.1456066945607,10.022684430742128,6.002136093371504,119.71438009249064,Fog,Stressed
June,15262.836670687575,2738.7138287092885,9.918002412545237,5.843763570566948,120.0593486127865,Rain,Neutral
July,14933.946829374592,2768.5902789278707,10.012412290259316,5.9609718893005015,119.61451296578775,Fog,Stressed
August,14914.514851485148,2753.1019019111213,9.993357126410316,6.0491135160027625,119.61938752014737,Fog,Tired
September,14929.812985179959,2741.637635850388,10.165386967772289,6.0218301576099735,119.403904963538,Clear,Neutral
October,15036.127720378105,2750.543433721697,10.098562321389316,6.079753792042207,119.65552868762366,Snow,Tired
November,15146.935406698565,2743.929023923445,9.868854066985646,6.028468899521531,120.12248803827751,Fog,Happy
December,15051.977272727272,2767.018022727273,9.92943409090909,6.12759090909091,119.18477272727273,Fog,Happy
