month,steps,calories_burned,distance_km,sleep_hours,heart_rate_avg,weather_conditions,mood
January,14911.874487471527,2749.9914328018226,9.937084282460138,6.019384965831435,118.76082004555809,Snow,Neutral
February,15174.000723763571,2750.0186176115803,10.132673100120627,5.977659831121834,120.09601930036189,Snow,Stressed
March,15042.903589975163,2731.390027094152,10.075689771957553,5.986723865432378,119.40867012869722,Rain,Happy
April,15022.769724334601,2748.985515684411,10.024006653992394,6.019819391634981,119.90660646387833,Rain,Stressed
May,15041.513284470911,2762.7979546495644,9.948547869903802,6.080371049015117,119.25881814017407,Snow,Neutral
June,15064.481174520482,2759.907359696898,9.983817191569974,5.944707553871655,118.73999526403031,Fog,Tired
July,14885.201562859113,2737.0972741898413,10.035456216961617,5.94256492760285,118.08572741898413,Clear,Tired
August,15099.612099644128,2750.3158696619216,10.005160142348753,5.997353202846975,119.06272241992883,Snow,Tired
September,15140.031564180501,2748.7273930324995,10.023754968435819,5.996212298339958,118.9969604863222,Clear,Happy
October,14955.687757909216,2766.5942526364056,10.058069692801467,6.026616231086657,118.92044933516735,Snow,Neutral
November,15029.925288710818,2763.6736460051848,10.02186424699505,5.948904077303794,119.71270327598397,Fog,Happy
December,14952.899082568807,2772.125952114567,9.966681584247034,5.963526515999105,118.89169836652495,Rain,Stressed
